split,metric,delta_name,n_folds,mean_delta,median_delta,min_delta,max_delta,std_delta,ci95_low,ci95_high,positive_folds,negative_folds,zero_folds
oos,blend,select2_minus_base,27,-0.0110976765911,-0.0107709752201,-0.0612925632278,0.0704572368077,0.027023010573,-0.0212908149778,-0.00090453820442,8,19,0
oos,blend,select_minus_base,27,-0.0045274105415,-0.00407063449162,-0.0759104496185,0.0628898428672,0.0261038521487,-0.0143738403706,0.00531901928758,12,15,0
oos,blend,select_minus_select2,27,0.00657026604961,0.00141829008507,-0.0345783583665,0.124182406095,0.0280035465506,-0.00399273264137,0.0171332647406,14,13,0
oos,h6,select2_minus_base,27,-0.00995269545766,-0.00736905732705,-0.064736391238,0.0189966571068,0.0213418729325,-0.018002896365,-0.00190249455035,10,17,0
oos,h6,select_minus_base,27,-0.00704555308934,-0.00623469439571,-0.0535084243414,0.0489771988632,0.0249464833005,-0.0164554208706,0.00236431469194,10,17,0
oos,h6,select_minus_select2,27,0.00290714236832,-0.00265295643008,-0.0261497248593,0.103798266036,0.0252411382812,-0.00661386991281,0.0124281546495,10,17,0
oos,h9,select2_minus_base,27,-0.00941392146122,-0.012909836464,-0.0830751760404,0.100679006239,0.0362849769846,-0.0231006937312,0.00427285080879,8,19,0
oos,h9,select_minus_base,27,-0.000922416985229,0.00172237243932,-0.0612813352501,0.0482890385901,0.0266331310078,-0.0109684919516,0.00912365798115,14,13,0
oos,h9,select_minus_select2,27,0.008491504476,0.0060727035119,-0.0975339434635,0.0852339350406,0.0355308195061,-0.00491079795218,0.0218938069042,19,8,0
train,blend,select2_minus_base,27,-0.030875381078,-0.0216560756094,-0.318734124365,0.130349506254,0.0903602256061,-0.0649594547888,0.00320869263279,10,17,0
train,blend,select_minus_base,27,-0.058104909233,-0.0374198017849,-0.412320720956,0.145929572393,0.120870179103,-0.103697403788,-0.0125124146776,8,19,0
train,blend,select_minus_select2,27,-0.0272295281551,-0.0146561937873,-0.452572474303,0.236355481412,0.12455567004,-0.0742121979111,0.019753141601,10,17,0
train,h6,select2_minus_base,27,-0.0309361657534,-0.0281889202884,-0.305286444433,0.14425316639,0.081746069501,-0.0617709610381,-0.000101370468742,6,21,0
train,h6,select_minus_base,27,-0.044973293682,-0.0402168874874,-0.388016098083,0.0758494006959,0.0872174443741,-0.0778719034738,-0.0120746838902,6,21,0
train,h6,select_minus_select2,27,-0.0140371279286,-0.00607116456071,-0.383974184369,0.185656899177,0.0992117410912,-0.0514600125401,0.0233857566829,10,17,0
train,h9,select2_minus_base,27,-0.0196093704207,-0.00326686777871,-0.366911771228,0.167115136139,0.11389394977,-0.0625704160923,0.0233516752508,13,14,0
train,h9,select_minus_base,27,-0.0545056797537,-0.0428248902592,-0.386244813636,0.275250436622,0.168752201856,-0.118159377477,0.00914801796938,11,16,0
train,h9,select_minus_select2,27,-0.034896309333,-0.0245468960298,-0.336143238851,0.240836060437,0.121351590016,-0.0806703931325,0.0108777744665,9,18,0
